text,label,source
"Fwd: application decision
---------- Forwarded message ---------
Unfortunately the team has chosen not to proceed. We encourage you to apply again in the future.",update,synthetic
"We won't be moving forward
Thank you for your interest in Tesla. At this time we will not be advancing your application.",update,synthetic
"Your application status has changed
Good news — your application has moved to the 'Hiring Manager Review' stage. We'll update you soon.",update,synthetic
"Update: your application advanced
Your application for the Nurse role passed initial screening and is now with the hiring team.",update,synthetic
"Reference check request
Congratulations on progressing! As a next step, please provide two professional references.",update,synthetic
"Background check — next step
As part of finalizing your candidacy, please complete the background check authorization form.",update,synthetic
"Second-round interview scheduled
You've been invited to a second-round interview for the Sales role. Details and calendar invite attached.",update,synthetic
"Final interview with the VP
You've reached the final stage! We'd like to schedule a conversation with our VP of Engineering.",update,synthetic
"Assessment results & next steps
You passed the assessment! We'd like to move you to the interview stage. Please pick a slot.",update,synthetic
"we'd like to invite you to interview
your application stood out. can you do a 1hr technical interview tues or weds?",update,synthetic
"Your interview is confirmed
This confirms your interview for the Accountant role on Monday at 2pm. Please join via the link.",update,synthetic
"Panel interview — please confirm
We'd like to schedule a panel interview for your application to the Research Scientist position.",update,synthetic
"You appeared in 12 searches this week
See who's been looking at your LinkedIn profile. Upgrade to Premium to see all of them.",ignore,synthetic
"Sarah and 3 others reacted to your post
Your recent post is getting attention on LinkedIn. See who engaged.",ignore,synthetic
"You have a new connection
John Smith accepted your invitation to connect on LinkedIn. Say hello!",ignore,synthetic
"Congratulations on your work anniversary
Celebrate 3 years at your company! Share an update with your network.",ignore,synthetic
"People you may know
Here are professionals in your network you might want to connect with this week.",ignore,synthetic
"Jobs you may be interested in
We found 15 new jobs matching your profile: Software Engineer at X, Data Analyst at Y, and more.",ignore,synthetic
"New jobs for you at Amazon
Based on your searches, here are recommended openings. Apply now before they close!",ignore,synthetic
"10 companies are hiring near you
Discover new opportunities. These roles match your skills — apply today!",ignore,synthetic
"Your job alert: Product Manager roles
Here are the latest Product Manager jobs posted this week. Set up more alerts.",ignore,synthetic
"We'd like to invite you to explore open roles
Check out career opportunities at our company. Join our talent community today!",ignore,synthetic
"Congratulations! You've been selected
You're eligible for a $500 gift card. Complete this short survey to claim your reward now!",ignore,synthetic
"Next steps to unlock your rewards
You're just one step away from exclusive member benefits. Confirm your email to continue.",ignore,synthetic
"Congratulations, you're a winner!
Claim your free cruise now. Limited time offer — act fast before it expires!",ignore,synthetic
"Your exclusive offer is waiting
Enjoy 40% off your next purchase. Use code SAVE40 at checkout. Ends midnight!",ignore,synthetic
"Flash sale: 50% off everything
Our biggest sale of the year is here. Shop now and save big on all items!",ignore,synthetic
"You've earned 500 bonus points
Congratulations on reaching Gold status! Redeem your points for exclusive rewards.",ignore,synthetic
"This week in tech
The top stories in technology, curated for you. Read about AI, startups, and more.",ignore,synthetic
"Your Monday newsletter
Here's what's happening in the world of finance this week. 5-minute read inside.",ignore,synthetic
"The Hustle: today's business news
Coffee-fueled business and tech news to start your day. Unsubscribe anytime.",ignore,synthetic
"Weekly digest from Medium
Stories we think you'll love, based on your reading history. Happy reading!",ignore,synthetic
"Product update: new features are here
We've shipped exciting new features this month. See what's new in the app.",ignore,synthetic
"We're hiring! Join our team
Exciting opportunities await at our growing company. Explore open roles and apply today.",ignore,synthetic
"Refer a friend and earn $1000
Know someone great? Refer them for open roles and earn a referral bonus.",ignore,synthetic
"Career fair this Saturday
Meet top employers at our virtual career fair. Register now to reserve your spot.",ignore,synthetic
"Your order has shipped
Great news! Your package is on its way. Track your shipment with the link below.",ignore,synthetic
"Your receipt from Uber
Thanks for riding. Here's your trip receipt and fare breakdown for today's ride.",ignore,synthetic
"Verify your email address
Please confirm your email to activate your account. Click the button below to verify.",ignore,synthetic
"Your statement is ready
Your monthly account statement is now available to view online. Log in to review.",ignore,synthetic
"Password reset requested
We received a request to reset your password. If this wasn't you, ignore this email.",ignore,synthetic
"Reminder: your subscription renews soon
Your annual plan renews in 3 days. Update your payment method if needed.",ignore,synthetic
"Meeting reminder: standup at 10am
This is a reminder for your calendar event today. Join via the meeting link.",ignore,synthetic
"Your invoice is due
Invoice #4821 is due in 5 days. Please remit payment to avoid late fees.",ignore,synthetic
"New login to your account
We noticed a new sign-in from a new device. Was this you? Review your account activity.",ignore,synthetic
"Webinar invite: scaling your startup
Join our free webinar next Thursday. Reserve your seat and bring your questions!",ignore,synthetic
"You left something in your cart
Your items are waiting! Complete your purchase before they sell out.",ignore,synthetic
"Survey: how did we do?
We'd love your feedback on your recent experience. Take our 2-minute survey.",ignore,synthetic
"Congratulations on completing the course
You finished 'Intro to Python'! Download your certificate and share your achievement.",ignore,synthetic
"Fwd: team lunch friday
---------- Forwarded message ---------
Don't forget the team lunch this friday at noon. rsvp please.",ignore,synthetic
"Your daily briefing
Here are today's headlines and the weather for your area. Have a great day!",ignore,synthetic
"Upgrade to Premium and save
Unlock unlimited features with our Premium plan. Special pricing for you this week only.",ignore,synthetic
